sensor_type,timestamp_ms,data1,data2,data3
GYROSCOPE,1554972523507,10.71,13.65,-1.12
ACCELEROMETER,1554972523509,-2.9048867,0.41635114,8.860621
GYROSCOPE,1554972523513,11.27,12.67,-0.7
ACCELEROMETER,1554972523515,-2.9048867,0.41635114,8.860621
GYROSCOPE,1554972523517,11.55,11.76,-0.35
ACCELEROMETER,1554972523519,-2.9240294,0.5383851,8.9348
GYROSCOPE,1554972523522,11.41,10.78,-0.07
ACCELEROMETER,1554972523524,-2.9240294,0.5383851,8.9348
GYROSCOPE,1554972523527,10.99,9.94,0.07
ACCELEROMETER,1554972523529,-2.900101,0.61495537,8.989835
GYROSCOPE,1554972523533,10.57,9.03,0.35
ACCELEROMETER,1554972523536,-2.900101,0.61495537,8.989835
GYROSCOPE,1554972523538,9.8,8.4,0.56
ACCELEROMETER,1554972523541,-2.9264224,0.65802616,8.99462
GYROSCOPE,1554972523543,8.82,7.77,0.7
ACCELEROMETER,1554972523546,-2.9264224,0.65802616,8.99462
GYROSCOPE,1554972523548,7.98,7.35,0.84000003
ACCELEROMETER,1554972523551,-2.938386,0.6867401,8.975478
GYROSCOPE,1554972523553,7.28,7.0,0.84000003
ACCELEROMETER,1554972523556,-2.938386,0.6867401,8.975478
GYROSCOPE,1554972523558,6.79,6.7200003,0.84000003
ACCELEROMETER,1554972523561,-2.9838498,0.7058827,8.989835
GYROSCOPE,1554972523562,6.51,6.44,0.98
ACCELEROMETER,1554972523565,-2.9838498,0.7058827,8.989835
GYROSCOPE,1554972523567,6.44,6.23,1.26
ACCELEROMETER,1554972523570,-2.9742785,0.7393822,9.018548
GYROSCOPE,1554972523572,6.44,5.95,1.6800001
ACCELEROMETER,1554972523575,-2.9742785,0.7393822,9.018548
GYROSCOPE,1554972523578,6.44,5.67,1.82
ACCELEROMETER,1554972523581,-3.0077782,0.7800602,9.008978
GYROSCOPE,1554972523583,6.51,5.46,2.03
ACCELEROMETER,1554972523586,-3.0077782,0.7800602,9.008978
GYROSCOPE,1554972523588,6.65,5.25,2.03
ACCELEROMETER,1554972523591,-3.0628128,0.7968099,9.023334
GYROSCOPE,1554972523593,6.93,4.97,2.03
ACCELEROMETER,1554972523596,-3.0628128,0.7968099,9.023334
GYROSCOPE,1554972523597,7.14,4.83,1.96
ACCELEROMETER,1554972523600,-3.0388849,0.8111669,9.059227
GYROSCOPE,1554972523602,7.28,4.55,1.96
ACCELEROMETER,1554972523605,-3.0388849,0.8111669,9.059227
GYROSCOPE,1554972523608,7.63,4.41,2.03
ACCELEROMETER,1554972523611,-3.0987055,0.90448695,9.01137
GYROSCOPE,1554972523612,7.91,4.13,1.96
ACCELEROMETER,1554972523615,-3.0987055,0.90448695,9.01137
GYROSCOPE,1554972523617,7.98,3.92,1.96
ACCELEROMETER,1554972523620,-3.1082764,0.84227353,9.032906
GYROSCOPE,1554972523623,8.05,3.71,1.89
ACCELEROMETER,1554972523626,-3.1082764,0.84227353,9.032906
GYROSCOPE,1554972523627,8.19,3.43,1.82
ACCELEROMETER,1554972523630,-3.1202407,0.91884387,9.085547
GYROSCOPE,1554972523632,8.26,3.08,1.75
ACCELEROMETER,1554972523635,-3.1202407,0.91884387,9.085547
GYROSCOPE,1554972523638,8.4,2.73,1.6800001
ACCELEROMETER,1554972523641,-3.1513472,0.89730847,9.145369
GYROSCOPE,1554972523643,8.47,2.24,1.61
ACCELEROMETER,1554972523646,-3.1513472,0.89730847,9.145369
GYROSCOPE,1554972523648,8.54,1.82,1.6800001
ACCELEROMETER,1554972523651,-3.1633115,0.9667004,9.284152
GYROSCOPE,1554972523653,8.47,1.47,1.75
ACCELEROMETER,1554972523656,-3.1633115,0.9667004,9.284152
GYROSCOPE,1554972523658,8.26,0.98,1.75
ACCELEROMETER,1554972523661,-3.117848,0.96191466,9.343972
GYROSCOPE,1554972523663,7.98,0.42000002,1.75
ACCELEROMETER,1554972523666,-3.117848,0.96191466,9.343972
GYROSCOPE,1554972523668,7.56,0.07,1.6800001
ACCELEROMETER,1554972523671,-3.0939198,1.038485,9.3200445
GYROSCOPE,1554972523673,6.86,-0.21000001,1.47
ACCELEROMETER,1554972523676,-3.0939198,1.038485,9.274581
GYROSCOPE,1554972523678,6.3,-0.35,1.26
ACCELEROMETER,1554972523681,-3.089134,1.0695916,9.274581
GYROSCOPE,1554972523682,5.53,-0.42000002,1.19
ACCELEROMETER,1554972523685,-3.0484562,1.0719845,9.212367
GYROSCOPE,1554972523688,5.11,-0.35,1.12
ACCELEROMETER,1554972523691,-3.0484562,1.0719845,9.212367
GYROSCOPE,1554972523692,4.9,-0.21000001,1.47
ACCELEROMETER,1554972523695,-3.0580275,0.9882358,9.183653
GYROSCOPE,1554972523698,5.04,-0.07,1.89
ACCELEROMETER,1554972523701,-3.0580275,0.9882358,9.183653
GYROSCOPE,1554972523702,5.39,-0.07,2.38
ACCELEROMETER,1554972523705,-3.0747771,0.9284152,9.24826
GYROSCOPE,1554972523708,5.95,-0.07,2.8700001
ACCELEROMETER,1554972523711,-3.0747771,0.9284152,9.24826
GYROSCOPE,1554972523713,6.79,-0.21000001,3.43
ACCELEROMETER,1554972523715,-3.1609187,0.9164511,9.276974
GYROSCOPE,1554972523718,7.77,-0.7,3.99
ACCELEROMETER,1554972523721,-3.1609187,0.9164511,9.276974
GYROSCOPE,1554972523723,8.96,-1.33,4.62
ACCELEROMETER,1554972523726,-3.211168,0.8662018,9.317651
GYROSCOPE,1554972523727,10.01,-2.17,5.11
ACCELEROMETER,1554972523730,-3.211168,0.8662018,9.317651
GYROSCOPE,1554972523732,11.06,-3.08,5.46
ACCELEROMETER,1554972523735,-3.1728828,0.94037926,9.334401
GYROSCOPE,1554972523737,11.76,-4.2,5.6
ACCELEROMETER,1554972523740,-3.1728828,0.94037926,9.334401
GYROSCOPE,1554972523743,12.53,-5.25,5.6
ACCELEROMETER,1554972523745,-3.1824539,1.0432707,9.4349
GYROSCOPE,1554972523748,13.09,-6.23,5.7400002
ACCELEROMETER,1554972523750,-3.1824539,1.0432707,9.4349
GYROSCOPE,1554972523753,13.51,-7.07,5.88
ACCELEROMETER,1554972523755,-3.07717,1.1964114,9.521042
GYROSCOPE,1554972523758,13.86,-7.7,6.02
ACCELEROMETER,1554972523760,-3.07717,1.1964114,9.521042
GYROSCOPE,1554972523764,13.93,-8.12,6.16
ACCELEROMETER,1554972523766,-3.036492,1.2921243,9.640682
GYROSCOPE,1554972523769,13.72,-8.4,6.23
ACCELEROMETER,1554972523770,-3.036492,1.2921243,9.640682
GYROSCOPE,1554972523774,13.3,-8.4,6.16
ACCELEROMETER,1554972523776,-2.9575288,1.3686945,9.700503
GYROSCOPE,1554972523778,12.67,-8.12,5.88
ACCELEROMETER,1554972523780,-2.9575288,1.3686945,9.700503
GYROSCOPE,1554972523784,11.83,-7.63,5.46
ACCELEROMETER,1554972523786,-2.902494,1.4213368,9.669396
GYROSCOPE,1554972523788,11.2,-7.21,5.04
ACCELEROMETER,1554972523790,-2.902494,1.4213368,9.669396
GYROSCOPE,1554972523794,10.29,-6.79,4.83
ACCELEROMETER,1554972523796,-2.8785658,1.4380864,9.707682
GYROSCOPE,1554972523799,9.7300005,-6.3,4.48
ACCELEROMETER,1554972523800,-2.8785658,1.4380864,9.707682
GYROSCOPE,1554972523803,9.52,-5.81,4.34
ACCELEROMETER,1554972523805,-2.9216366,1.378266,9.743573
GYROSCOPE,1554972523808,9.45,-5.32,4.34
ACCELEROMETER,1554972523810,-2.9216366,1.378266,9.743573
GYROSCOPE,1554972523814,9.38,-4.83,4.34
ACCELEROMETER,1554972523816,-2.8905296,1.3519448,9.745967
GYROSCOPE,1554972523818,9.45,-4.41,4.2
ACCELEROMETER,1554972523820,-2.8905296,1.3519448,9.745967
