sensor_type,timestamp_ms,data1,data2,data3
GYROSCOPE,1554972579815,24.22,-68.04,-17.64
ACCELEROMETER,1554972579817,3.5533416,-3.012564,15.414563
GYROSCOPE,1554972579821,31.92,-72.03,-19.67
ACCELEROMETER,1554972579823,4.232903,-3.4791641,16.878971
GYROSCOPE,1554972579826,39.9,-75.39,-21.42
ACCELEROMETER,1554972579828,4.232903,-3.4791641,16.878971
GYROSCOPE,1554972579831,48.79,-77.7,-22.960001
ACCELEROMETER,1554972579833,5.0656056,-3.5006995,18.848263
GYROSCOPE,1554972579836,59.36,-78.19,-24.64
ACCELEROMETER,1554972579838,5.0656056,-3.5006995,18.848263
GYROSCOPE,1554972579840,69.16,-76.44,-26.67
ACCELEROMETER,1554972579842,6.082555,-3.7686958,20.094925
GYROSCOPE,1554972579845,77.21,-72.94,-28.630001
ACCELEROMETER,1554972579847,6.082555,-3.7686958,20.094925
GYROSCOPE,1554972579851,84.840004,-67.48,-30.73
ACCELEROMETER,1554972579853,7.245467,-3.6346977,21.5043
GYROSCOPE,1554972579856,92.33,-60.34,-32.83
ACCELEROMETER,1554972579858,7.245467,-3.6346977,21.5043
GYROSCOPE,1554972579861,98.35,-50.89,-35.07
ACCELEROMETER,1554972579862,8.377272,-3.292524,22.51646
GYROSCOPE,1554972579865,102.2,-39.13,-37.170002
ACCELEROMETER,1554972579867,8.377272,-3.292524,22.51646
GYROSCOPE,1554972579870,104.02,-24.92,-38.57
ACCELEROMETER,1554972579872,9.437292,-2.6512473,22.703102
GYROSCOPE,1554972579876,104.23,-8.33,-39.41
ACCELEROMETER,1554972579877,9.437292,-2.6512473,22.703102
GYROSCOPE,1554972579881,102.62,10.22,-39.62
ACCELEROMETER,1554972579883,10.147961,-2.1894329,22.097717
GYROSCOPE,1554972579886,99.26,30.03,-39.27
ACCELEROMETER,1554972579888,10.147961,-2.1894329,22.097717
GYROSCOPE,1554972579891,94.71,50.61,-38.15
ACCELEROMETER,1554972579893,10.322637,-1.8089739,21.305693
